tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,tmclinear,frc,border_set,f_system,urban_code,faciltype,structype,thrulanes,route_numb,route_sign,route_qual,altrtename,aadt,aadt_singl,aadt_combi,nhs,nhs_pct,strhnt_typ,strhnt_pct,truck
118+04465,US-169,NORTHBOUND,CR-18,MN,SCOTT,55379,44.782618,-93.463616,44.783122,-93.431083,1.597228,350,America/Chicago,P1,USA,100,2,N,3,57628,2,0,4,169,3,1,169,66248,1832,2542,1,100,0,0,1
118P04465,US-169,NORTHBOUND,CR-18,MN,SCOTT,55379,44.783122,-93.431083,44.787032,-93.410288,1.071126,351,America/Chicago,P1,USA,100,2,N,3,57628,2,0,4,169,3,1,169,52000,1581,2431,1,100,0,0,1
118+04466,US-169,NORTHBOUND,CR-101,MN,SCOTT,55379,44.787032,-93.410288,44.787779,-93.408605,0.097400,352,America/Chicago,P1,USA,100,2,N,3,57628,2,1,4,169,3,1,169,52000,1581,2431,1,100,0,0,1
118P04466,US-169,NORTHBOUND,CR-101,MN,SCOTT,55379,44.787779,-93.408605,44.792506,-93.403009,0.429330,353,America/Chicago,P1,USA,100,2,N,3,57628,2,1,4,169,3,1,169,66466,2182,2809,1,100,0,0,1
118+04467,US-169,NORTHBOUND,RIVERVIEW RD/OLD SHAKOPEE RD,MN,SCOTT,55379,44.792506,-93.403009,44.803998,-93.39803,0.848501,354,America/Chicago,P1,USA,100,2,N,2,57628,2,1,4,169,3,1,169,89000,3119,3399,1,100,0,0,1
118P04467,US-169,NORTHBOUND,RIVERVIEW RD/OLD SHAKOPEE RD,MN,HENNEPIN,55438,44.803998,-93.39803,44.812578,-93.398121,0.592744,355,America/Chicago,P1,USA,100,2,N,2,57628,2,0,6,169,3,1,169,86238,3040,3364,1,100,0,0,1
118N04467,US-169,SOUTHBOUND,RIVERVIEW RD/OLD SHAKOPEE RD,MN,HENNEPIN,55438,44.813703,-93.398418,44.803591,-93.398394,0.698570,133,America/Chicago,P1,USA,100,2,N,2,57628,2,0,6,169,3,1,169,85322,3014,3352,1,100,0,0,1
118-04466,US-169,SOUTHBOUND,CR-101,MN,SCOTT,55379,44.803545,-93.398393,44.79414,-93.401925,0.683309,134,America/Chicago,P1,USA,100,2,N,2,57628,2,1,4,169,3,1,169,89000,3119,3399,1,100,0,0,1
118N04466,US-169,SOUTHBOUND,CR-101,MN,SCOTT,55379,44.79414,-93.401925,44.78801,-93.408768,0.543687,135,America/Chicago,P1,USA,100,2,N,3,57628,2,1,4,169,3,1,169,73224,2463,2986,1,100,0,0,1
118-04465,US-169,SOUTHBOUND,CR-18,MN,SCOTT,55379,44.78801,-93.408768,44.786436,-93.412788,0.225502,136,America/Chicago,P1,USA,100,2,N,3,57628,2,0,4,169,3,1,169,52000,1581,2431,1,100,0,0,1
118N04465,US-169,SOUTHBOUND,CR-18,MN,SCOTT,55379,44.786436,-93.412788,44.784167,-93.420244,0.398572,137,America/Chicago,P1,USA,100,2,N,3,57628,2,0,4,169,3,1,169,52000,1581,2431,1,100,0,0,1
118-04464,US-169,SOUTHBOUND,CR-83/CANTERBURY RD,MN,SCOTT,55379,44.784167,-93.420244,44.782929,-93.463226,2.114240,138,America/Chicago,P1,USA,100,2,N,3,57628,2,0,4,169,3,1,169,62885,1775,2517,1,100,0,0,1
